reference_id,authors_year,year,venue,doi,country_institution,class_id,relevance_score,qa_total,vio_architecture,fusion_method,visual_frontend,features_representation,imu_preintegration,adaptive_online,uav_platform,benchmark_dataset,evaluation_metrics,challenging_conditions,key_contribution,limitations_stated,relevant_rqs,reviewer_notes,aux_sensors,aux_measurement_models,aux_fusion_weight,aux_evidence,height_channel,height_channel_weighting,frontend_type,point_features,frontend_evidence,per_keypoint_quality_scoring,quality_scoring_evidence,limitation_codes,limitation_evidence,recode_notes
P0153,"He, Z. and Li, G. (2023). A Visual-Inertial Navigation Coupl",2023,"IEEE Sensors Journal, vol. 23, no. 20 (journal), IEEE",10.1109/jsen.2023.3312731,China.,C7,2,5.0,Tightly coupled (point and line features and IMU preintegration jointly optimised in a sliding-window bundle adjustment; built on VINS-Mono),Sliding-window optimisation.,Monocular (EuRoC stereo rig used in monocular mode),Point features: Shi-Tomasi corners tracked by KLT optical flow.,Yes; between-image preintegration inherited from VINS-Mono.,Yes - the minimum line-segment length threshold L of EDLines is set per frame by a linear map L_i = Lmax + Dp_i.,No flight platform.,"EuRoC MAV dataset: Machine Hall MH_01_easy, MH_02_easy, MH_03_medium, MH_04_difficult, MH_05_difficult.",ATE RMSE (m) via EVO on 8 sequences (Table I).,"Low texture / featureless (white walls, V1_03_difficult), insufficient light / low light (MH_04_difficult).","An adaptive point-line (APL) extraction strategy: EDLines is modified to expose the minimum line length L, and L is driven online by the point-feature tracking failure rate so that costly line detection is only expanded when point tracking is poor.","The adaptive mechanism uses a single index (point tracking failure rate) to set the point-line balance, which cannot fully characterise texture changes in the environment.","RQ2 (optimisation-based tightly coupled point-line VINS taxonomy), RQ3 (algorithmic adaptation: feature-quality-driven front-end adaptation to trade accuracy vs computation), RQ4 (EuRoC benchmark, ATE RMSE, timing), RQ5 (gap: single-index adaptation, empirical parameters, no embedded-hardware or real-flight validation)","Adaptation acts on the front-end extraction budget, not on the estimator (no covariance/weight adaptation). The 'computer simulation experiment' phrase on p.",,,,"p.3 Our system uses a visual-inertial measurement system composed of an IMU and a monocular camera. Camera + IMU only; no GNSS, LiDAR, UWB, magnetometer, barometer, altimeter, map or fiducial inputs. EuRoC Leica/Vicon ground truth is used only for evaluation.",no,,point-line,yes,"p.3 For point features, we use the Shi and Tomasi [25] algorithm for detection and the Kanade-Lucas-Tomasi (KLT) optical flow for tracking. For line features, the improved EDLines algorithm is used for line feature extraction. ...",no,"The quality signal Dp (Eq. 4, p. 5) is a frame-level aggregate tracking-failure rate that sets a global detector threshold; line segments are then ranked by length and the top N kept (p. 5).",none stated,,
P0271,"Du, S., Xu, M., Li, Y., Fang, W., Liu, Q., Yi, P., Hong, Y. ",2025,"IEEE Internet of Things Journal, vol. 12, no. 15 (IEEE)",10.1109/jiot.2025.3573755,China.,C1,3,4.5,Loosely coupled. Per-UAV VIO (VINS-Fusion) is treated as a black-box pose source.,Sliding-window optimisation over a factor graph.,RGB-D (Intel RealSense D435i colour + aligned depth in simulation).,Point features: ORB (oriented FAST corners + BRIEF descriptors) matched by Hamming distance.,Not stated (inherited from VINS-Fusion; not discussed in the paper).,Partial - fixed-threshold outlier rejection only.,"Quadrotor / multirotor, simulated in XTDrone (PX4 + ROS + Gazebo-based physics).","Custom simulated sequences in XTDrone [36]: (1) spiral flight, 3 UAVs (Table I); (2) urban / city scenario, 3 UAVs.","Position AVE (mean absolute error, m); position RMSE (m, Eq. 25, per-UAV and whole-swarm).",GPS-denied / GPS-limited swarm operation (explicit target); cumulative VIO drift without loop closure.,"A swarm-level sliding-window factor-graph back-end that constrains each UAV's VIO with (a) synchronous 6-DoF relative poses from resonant-beam (RBeam) AoA + ToF sensing, including a Lie-algebra rotation residual that transfers RBeam angular precision to VIO yaw/pitch, and'.","ARP constraints exist only where UAV trajectories yield detectable co-view frames, so gains depend on co-view frequency (p.11-12).","RQ2 (collaborative / optimisation-based architecture), RQ3 (system-level drift mitigation via inter-agent constraints), RQ4 (simulation-only evaluation, RMSE metrics), RQ5 (gap: no real-flight validation)","Thematic class: C1 multi-sensor fusion (inter-UAV RBeam + multiview landmark constraints on VIO), secondary C6 integrated system.",,,,"No listed category matches. p.3: ""each UAV is equipped with RBeam units, a camera, and an IMU sensor""; p.4: ""RBeam system can obtain two direction angles ...",no,,descriptor point features,yes,"p.4: ""we first detect the locations of oriented FAST corners and then compute the corresponding BRIEF descriptors. These descriptors are then matched using the Hamming distance"" (paper's own ARP front-end).'.",no,,none stated,,
P0289,"Li, C., Wang, J., Liu, J., Shan, J. (2023). Cooperative Visu",2023,"IEEE Transactions on Aerospace and Electronic Systems, vol. 59, no. 6, pp. 7851-7865; IEEE. DOI 10.1109/TAES.2023.3297555",10.1109/taes.2023.3297555,China.,C1,3,4.5,Tightly coupled.,"EKF - multi-state constraint Kalman filter (MSCKF, built on OpenVINS) with stochastic cloning.",Monocular (one camera per UAV; SITL: downward-looking monocular camera),"Point features: FAST corners tracked, ORB descriptors computed and shared between UAVs for common-feature matching (p. 12).",No - continuous-time IMU kinematic propagation of the error-state EKF.,"No. Covariance-intersection weights are fixed (omega_jm = 0.015, Table I).",Quadrotor / multirotor - simulated drone.,No real benchmark sensor data used.,"Position and orientation RMSE over Monte Carlo runs vs time (Fig. 4, 7-10); averaged ATE (deg/m) per UAV (Table II).",GNSS-denied / intermittent GNSS operation (only one UAV has intermittent GNSS).,"Fully distributed cooperative MSCKF for multiple UAVs fusing IMU, monocular features, pairwise UWB ranges and intermittent GNSS.",Validated only in numerical and SITL simulation; real multi-UAV implementation deferred to future work (p. 13).,"RQ2 (filter-based, collaborative multi-UAV architecture), RQ3 (system-level multi-sensor fusion for robustness in GNSS-denied flight), RQ4 (simulation-derived benchmarks, ATE/RPE/NEES metrics, PX4/Gazebo platform), RQ5 (simulation-only validation gap)",Thematic class C1 (multi-sensor fusion) with a strong collaborative flavour. No adaptive/online component in the protocol sense; CI weights explicitly fixed.,UWB ranging augmentation; GNSS / RTK / SBAS augmentation,range to anchor; absolute 3-D position,UWB ranging augmentation: fixed; GNSS / RTK / SBAS augmentation: fixed,"p. 4: ""The sensors incorporated in the fusion scheme are a camera, an IMU, a UWB, and a GNSS receiver""; p. 5: ""Intermittent global position measurements from the GNSS are used to perform EKF update directly using the method proposed in [35]""; p.",no,,descriptor point features,yes,"p. 12: ""the FAST corners are tracked and its corresponding ORB descriptors are shared among UAVs to find possible common features""; p. 4: ""the descriptor matrix of the successfully tracked features is calculated and transmitted to other members"".",no,,none stated,,
P0293,"Zeng, Q., Yu, H., Ji, X., Tao, X., Hu, Y. (2023). Fast and R",2023,"IEEE Sensors Journal, vol. 23, no. 20 (15 Oct 2023), IEEE (journal article)",10.1109/jsen.2023.3309907,China.,C7,3,3.5,"Tightly coupled: keyframe states, inverse-depth landmarks and camera-IMU extrinsics are jointly optimised in one sliding window with IMU.",Sliding-window nonlinear optimisation.,"Monocular (EuRoC left camera, 752 x 480; 'monocular visual-inertial odometry', title and abstract).",Semi-direct (SVO-style) tracking: sparse direct image alignment on photometric residuals.,"Yes; on-manifold preintegration following Forster et al. [11] (Eq. 1, p. 3).","No. All components are fixed-design: static initialisation (per [30]), a generic robust kernel rho(.) on the visual residuals.",Not stated. No UAV flight is performed.,"EuRoC MAV [35], all eleven sequences: MH_01_easy, MH_02_easy, MH_03_medium, MH_04_difficult, MH_05_difficult, V1_01_easy.","RMSE (m) of absolute pose error (APE) per EuRoC sequence and mean over sequences, vs VINS-Mono, ROVIO and VI-DSO.",GPS-denied navigation (motivation); slow VIO on onboard computers (the primary target).,"A monocular VIO whose front end is an SVO-style semidirect tracker (direct alignment, feature alignment, pose refinement) with Shi-Tomasi + Edgelet features distributed by a quadtree, and whose back end is a tightly coupled sliding-window optimisation in g2o with IMU preintegration.","None stated. No limitations, failure cases or future work are given.","RQ2 (optimisation-based tightly coupled monocular VIO with a semidirect front end), RQ3 (algorithmic-level robustness: edge features for low texture, quadtree distribution, semidirect tracking for speed), RQ4 (EuRoC benchmark, APE RMSE, tracking time on an onboard computer). Marginal RQ5 (no stated limitations).",Front-end / feature-processing paper (C7) closely following SVO [9] plus a VINS-style back end.,,,,"p.1 Therefore, a viable sensor suite is the visual-inertial odometry (VIO) system composed of low-cost inertial measurement unit (IMU) and monocular cameras Camera + IMU only; no GNSS, LiDAR, UWB, magnetometer, barometer, altimeter, map matching or fiducials.",no,,semi-direct,no,"p.4 Combining direct and feature-based methods, a semidirect tracking approach is constructed in the tracking section. The main steps are: 1) direct image alignment; 2) feature align-ment; and 3) pose refinement.",no,"p.3 A quadtree-based feature extraction algorithm is employed to uniformly divide the image into blocks, such that each block contains the best-quality features among all features within that block.",none stated,,
P0368,"De Vito, L., Neyestani, A., Picariello, F., Rapuano, S., Tud",2025,"2025 IEEE International Instrumentation and Measurement Technology Conference (I2MTC), IEEE. DOI 10.1109/I2MTC62753.2025.11079197",10.1109/i2mtc62753.2025.11079197,"Italy; Department of Engineering, University of Sannio, Benevento",C4,3,3.5,Loosely coupled.,None of the template categories: closed-form homography/RANSAC keypoint matching followed by a geometric dead-reckoning position update.,,"Point features: ORB (evaluated in flight test); SIFT, SURF, FAST, Harris, MEF also assessed in the Monte Carlo keypoint stage.","No. IMU used only as an orientation source (roll, pitch, yaw at 0.25 s period, p.5).",No,"Simulated quadcopter (MATLAB UAV Package Delivery model in Simulink-Unreal Engine, p.4-5).","Custom simulation only: MATLAB Simulink-Unreal Engine 'US City Block' scene, closed-loop square flight at 50 m constant altitude.",Euclidean distance between estimated and reference trajectory per frame.,"Lighting variation (five sun positions), image noise (SNR 5-40 dB) and blur assessed at the keypoint-uncertainty level.",A GUM-based sensitivity/uncertainty model.,"Simulator sensor data are idealised (noise added synthetically); uncertainty model not yet validated experimentally; real-world, dynamic-object and hardware-malfunction scenarios not covered.","RQ4 (evaluation methodology, simulator-based validation, uncertainty metric), RQ5 (gaps: no real flight, no probabilistic fusion, no online adaptation); marginally RQ3 (front-end choice under lighting/noise degradation)",Metrology-style sensitivity study rather than a VIO estimator paper. 'VIO' here is a camera + IMU-attitude + LiDAR-depth geometric dead-reckoning pipeline.,LiDAR augmentation,relative pose or point cloud,LiDAR augmentation: fixed,"p.4: 'In this paper, the case of a UAV with a LiDAR has been considered ... ud = 0.03 m'; p.4-5: 'a depth output was added, simulating the functionality of a LiDAR depth sensor. For each pixel in an image, a value is returned in meters'. Depth d_i enters eq.",yes,fixed,descriptor point features,yes,"p.5: 'The two feature extraction algorithms exhibiting the lowest uncertainty were tested, i.e., ORB and Semantic segmentation'; p.2: ORB 'Oriented-FAST-and-Rotated-BRIEF' with homography/RANSAC matching (p.3). ORB is the descriptor-based variant.",no,p.3: 'the final position is obtained from the average of the P_i values for every pair of recognised keypoints' - uniform averaging after RANSAC inlier filtering.,none stated,,
P0369,"Song, J., Liu, Z., Liu, X., Guo, J. (2018). Tightly coupled ",2018,"2018 IEEE International Conference on Information and Automation (ICInfA), IEEE (conference paper)",10.1109/icinfa.2018.8812447,"China; Department of Aerospace Engineering, Harbin Institute of Technology, Harbin",C7,5,3.0,Tightly coupled: the re-projection error of detected fiducial-tag corners is used directly as the IEKF innovation.,Iterated Extended Kalman Filter (IEKF) with IMU-driven state propagation.,Monocular fisheye camera of the Intel RealSense ZR300.,Artificial landmarks: a custom ID-free fiducial tag of two nested black/white squares.,No. Filter-based propagation: the IMU kinematic model.,Yes - online calibration: accelerometer and gyroscope biases and the camera-IMU extrinsic translation and rotation are filter states estimated continuously.,DJI Matrice 100 quadrotor.,Custom real-flight data only: four experiments flown in an Optitrack motion-capture arena with tags placed at random on the floor.,"Absolute per-axis position error vs Optitrack (< 0.1 m short flight, < 0.2 m over 3 min).",GPS-denied indoor flight (primary target: replacing an expensive motion-capture system).,"A tightly coupled monocular fisheye-inertial IEKF (ROVIO-style robocentric state with bearing/inverse-depth landmarks) whose visual measurements are the 8 corners of a custom ID-free two-square fiducial tag, detected without decoding.",No explicit limitations section.,"RQ2 (filter-based tightly coupled IEKF architecture), RQ3 (sensor-level strategy: artificial landmarks with known geometry replacing natural features; algorithmic-level: online bias and extrinsic calibration, inverse-depth landmark initialisation), RQ4 (custom motion-capture real-flight evaluation, DJI M100 / NUC platform, RMSE-vs-distance metrics), RQ5 (unobservable drift and loop closure as stated gaps).","Fiducial-based VIO: the tags are randomly placed and unsurveyed, so they supply metric scale and reliable.",Fiducial markers (absolute pose),absolute pose,Fiducial markers (absolute pose): fixed,"p.3 Our algorithm needn't to distinguish tags, we design our own tag with two squares tightly overlap'.",no,,descriptor point features,yes,"p.3 In this work, we use the tag by detecting the line segment and rectangle. ... Least square method is introduced to fit line segment with the pixels in every cluster after clustering algorithm.",yes,"p.5 the corners in the candidate sets and filter are graded and ordered by Shi-Tomasi score, the corners in the front are selected for updating the filter, while the corners with lower score in the filter are eliminated.",L3,L3: the position error of UAV is approximately proportional to the square root of the distance traveled by itself. ... which is consistent with the unobse,
P0049,"Mao, J., Zhang, L., He, X., Qu, H., Hu, X. (2022). A 2D Geor",2022,"2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS), IEEE (conference paper)",10.1109/iros47612.2022.9982254,China.,C1,3,4.5,Loosely coupled at the system level: an unmodified tightly-coupled monocular sliding-window VIO.,Two-stage: (i) VINS-Mono sliding-window nonlinear optimisation for the VIO.,"Monocular, downward-looking, rigidly mounted (no gimbal), 10 Hz.",Point features. VIO: Shi-Tomasi corners tracked as in VINS-Mono.,Yes.,Partial - online outlier rejection and robust weighting with fixed empirically set parameters: (a) VIO 3D points are gated by a reprojection-error threshold.,"DJI M600Pro (hexarotor multirotor), sensors rigidly mounted.","Custom real-flight datasets only, one flight each: (1) Rural dataset, Changsha, 0.51 x 0.4 km area, 448.2 s, 1.18 km, ~110 m AGL.","True match rate (%) of georegistration, where a true match has >= 8 inliers and lies within 30 m of ground truth.",GNSS-denied geolocalisation; unknown initial position and heading (no prior).,"Registering VIO-reconstructed, gravity-aligned and compass-headed 3D feature points (rather than 2D image patches) to a 2D georeferenced map via a translation-consistency inlier vote, then relocalising by PnP.","Scattered, no limitations section: georegistration time grows with map size (216.3 ms/frame in the Testing Zone) and search-area bounding is left to future work (p. 7).","RQ2 (loosely coupled VIO + pose-graph architecture), RQ3 (system-level robustness: absolute map registration to remove drift, Huber robust fusion, reprojection-error gating), RQ4 (custom real-flight datasets, RMSE, timing), RQ5 (computational cost of map matching, altitude-dependent accuracy, ground-truth quality)",The VIO is used as-is (VINS-Mono).,Magnetometer / Magnetic; Satellite-map / reference-map matching (absolute position),heading; absolute position,Magnetometer / Magnetic: not stated.,"p.4 By using a magnetic compass, we can correct the heading of the VIO and rotate the reconstructed points as : ... where the j-th map feature and the i-th reconstructed point feature is a matched pair Compass heading.",no,,optical-flow-tracked corners,yes,p.6 Proposed Camera: Shi-Tomasi corner feature Map: extract with every 10 pixels' stride SIFT descriptor with fixed orientation and size Table II.'.,no,"p.4 we only select the points that have a reprojection error smaller than a predefined threshold for registration Borderline: VIO 3D points are gated per point by reprojection error (<= 8.0, Table III).",L1,"L1: in the Testing Zone dataset, it took about 216.3 milliseconds to process one frame. Further improvements, such as using the previous localization resu",
P0437,"Markovic, L., Kovac, M., Milijas, R., Car, M., Bogdan, S. (2",2022,"2022 International Conference on Unmanned Aircraft Systems (ICUAS), IEEE (DOI 10.1109/icuas54217.2022.9836124). Full text read is the arXiv preprint 2109.04908v1 (10 Sep 2021), 6 pages.",10.1109/icuas54217.2022.9836124,"Croatia; Faculty of Electrical Engineering and Computing, University of Zagreb",C1,5,4.0,Loosely coupled: pose from the Intel T265 (VIO computed on-device).,"ESKF (error-state extended Kalman filter, Sola [22] formulation) with per-sensor position/orientation drift states appended to the state.",Intel RealSense T265 tracking camera supplying VIO output.,Not stated (consumed pose stream from the T265; no feature processing described).,No.,Yes - (a) per-sensor position and orientation drift/extrinsic states estimated inside the ES-EKF and removed from each measurement.,"Custom-built multirotor (quadrotor-class, Fig. 1) assembled by Kopterworx.",Custom indoor laboratory flight data only; one flight of roughly 200 s.,"RMSE of position per axis (x, y, z in m) and yaw (deg) against Optitrack (Table I).",GPS-denied indoor flight; magnetometer-denied operation (all magnetometers disabled/removed).,"An ES-EKF fusing IMU with heterogeneous position/orientation/velocity measurements (LiDAR SLAM pose, T265 VIO pose, UWB position), with the state extended by per-sensor drift position/orientation for online drift and calibration compensation, plus an innovation-limit arbiter for outlier rejection.",No explicit limitations section. In passing: the fused estimate is slightly less accurate than the T265 alone along z.,"RQ2 (filter-based fusion architecture), RQ3 (system-level robustness: drift-state estimation, outlier arbiter), RQ4 (custom platform, motion-capture ground truth, RMSE metrics)",The VIO here is a black-box commercial module (T265) whose pose stream is one of three inputs to a loosely coupled ES-EKF.,LiDAR augmentation; UWB ranging augmentation,relative pose or point cloud; range to anchor,LiDAR augmentation: fixed; UWB ranging augmentation: fixed,"p.4 An Ouster OS1-16 high-resolution LiDAR sensor is used in combination with Cartographer SLAM [23] to provide pose measurements. [...] The second sensor is the Pozyx UWB positioning system, the only sensor used that does not accumulate drift.",no,,consumed pose stream,no,p.1 visual odometry provided by the Intel T265 camera,no,,none stated,,
P0632,"Wang, Z., Zuo, X., Dong, W. (2026). Flying Co-Stereo: Enabli",2026,"IEEE Transactions on Robotics (T-RO), IEEE (journal article; fulltext_index gives DOI 10.1109/tro.2026.3658293; the available text is the arXiv v1 preprint)",10.1109/tro.2026.3658293,China.,C6,4,5.0,"Two-level. (i) Ego-motion VIO: unmodified OpenVINS [70] on each UAV, fusing the Xsens MTi-630 IMU with the D455 forward colour camera.",Hybrid. DS-VIRE: sliding-window nonlinear least squares over M relative position/velocity states.,Monocular per UAV: the D455's forward-facing colour camera'.,Co-visible landmarks: SuperPoint learned keypoints/descriptors matched across agents with SuperGlue on periodic guidance frames (~13 Hz).,"Yes, in a simplified relative form: the follower's bias-compensated accelerations are rotated by'.",Yes - online estimation of the dynamic stereo baseline.,Two identical custom-developed quadcopters.,"Custom only, no public benchmark.","Relative position MAE and RMSE (m, total and per axis) and relative orientation MAE and RMSE.","Large-scale unknown outdoor environments requiring long-range (>20 m, up to 70 m) depth perception.","Flying Co-Stereo: a two-UAV dynamic wide-baseline stereo system within the CDBSM framework comprising (1) DS-VIRE, a dual-spectrum.",The system requires an established communication link and pauses mapping during interruptions (p. 9).,"RQ2 (collaborative two-UAV architecture with a sliding-window relative-pose estimator layered on filter-based OpenVINS), RQ3 (sensor-level: dual-spectrum IR fiducials + UWB + IMU fusion for robust outdoor relative pose; algorithmic: online baseline/extrinsic estimation, failure-triggered re-detection, condition-number gating; system-level: leader-follower drift mitigation, compute distribution across agents), RQ4 (custom quadrotor platform, Jetson NX, no public benchmark, custom metrics), RQ5 (stated gaps: adaptive baseline planning, temporal depth consistency, multi-UAV scaling, communication dependence).",This is primarily a collaborative dense-mapping and relative-pose paper: the ego VIO (OpenVINS) is used unmodified and is never evaluated.,UWB ranging augmentation; Fiducial markers (absolute pose),range to anchor; absolute pose,"UWB ranging augmentation: fixed (constant measurement covariance Sigma_R in Eq. 2, value not stated).",p.4 IR LED markers enable mutual visual observations between the UAVs. UWB modules installed on each UAV provide relative distance measurements. IMU data is utilized for both self Visual-Inertial Odometry (VIO) and relative baseline estimation.,no,,descriptor point features,yes,p.7 SuperPoint features extracted from local views are matched via SuperGlue to establish initial associations (f10 <-> f11).,no,"SuperGlue match confidence is not used as a weight; the only per-landmark quality test is the binary condition-number threshold on the triangulation matrix (p. 8), which is gating rather than weighting.",L1,"L1: In our implementation, SuperPoint and SuperGlue require approximately 74 ms per inference on the NVIDIA NX platform, resulting in the skipping of two",
P0005,"Zhang, Z., Zhang, B., Lv, M., Liu, S., Xue, J., Wei, H. (202",2025,"2025 6th International Conference on Computers and Artificial Intelligence Technology (CAIT), IEEE (conference paper)",10.1109/cait68620.2025.11424858,China.,C6,6,2.5,Loosely coupled: the visual scene-matching module outputs an absolute 2-D geodetic position p_v with covariance R_v.,"ESKF (error-state Kalman filter) with 15-dimensional error state [dp, dv, dtheta, dba, dbg].","Monocular: single nadir visible-light camera, 2560 x 1440 @ 50 fps, 120 deg FOV.",Learned sparse point features: XFeat [6] joint detection-and-description network.,"Yes; on-manifold preintegration of dR, dv, dp over [t_k, t_k+1].",Partial - barometric-altitude-driven satellite-tile selection and GSD scale normalisation (Eq. 3) and prior-covariance-driven Mahalanobis retrieval radius.,"Multirotor UAV (model not named), flight speed 8-20 m/s, flight altitude 100-1000 m.","Custom real-flight data only: four sequences over (a) Campus 240 m / 8.7 m/s / 3.6 km, (b) Farmland 320 m / 15.2 m/s / 5.7 km.",'Max Error (CEP)' in metres per sequence vs RTK-GPS (Table II: 5.2 / 10.5 / 14.1 / 25.4 m).,GNSS-denied (jamming/spoofing/occlusion) outdoor flight at 100-1000 m altitude.,An embedded (Orin Nano) absolute-localisation pipeline that (i) uses barometric altitude and the ESKF's prior covariance to select and rescale georeferenced satellite tiles so the reference matches the UAV's GSD.,"No limitations section. The authors note that extensive low-texture desert terrain increases visual-matching error, which the inertial propagation only bounds to 25.4 m CEP (pp. 6-7).","RQ2 (loosely-coupled ESKF around a learned-feature scene-matching front-end), RQ3 (sensor-level: satellite-map absolute correction to remove drift; algorithmic: barometer-driven scale normalisation and covariance-gated search, RANSAC outlier rejection; system-level: TensorRT FP16 embedded deployment), RQ4 (custom real-flight validation, CEP metric, Orin Nano platform). RQ5 weakly (low-texture degradation and lack of tight coupling as stated gaps).",Absolute visual localisation (satellite scene matching) fused with IMU rather than classical VIO.,Satellite-map / reference-map matching (absolute position),absolute position,Satellite-map / reference-map matching (absolute position): not stated.,"p.4 The pixel coordinate q_center is then mapped to an absolute 2D position estimate p_v = (x_v, y_v) for the UAV using: p_v = Origin_ref + q_center * GSD_ref Georeferenced satellite-tile matching provides the absolute-position measurement fused in the ESKF.",no,,descriptor point features,yes,"p.4 We adopt a Bidirectional Nearest Neighbor Distance Ratio (BNNDR) strategy for feature matching. For each descriptor d_i in F_real, the nearest neighbor d_j1 and the second nearest neighbor d_j2 in F_ref are found.",no,The ratio test and RANSAC inlier threshold accept or reject matches; no per-feature weight or confidence is propagated into the pose or the filter.,L2,"L2: In the more challenging desert environment (Fig. 4(d)), extensive low-texture regions tends to increase errors in visual matching.",
P0042,"Hu, J., Ren, K., Xu, X., Zhou, L., Lang, X., Mao, Y., Huang,",2023,"2023 IEEE International Conference on Robotics and Automation (ICRA 2023), IEEE (conference paper)",10.1109/icra48891.2023.10160393,China.,C6,4,4.0,Tightly coupled: MSCKF-based filter whose state.,"EKF / MSCKF (OpenVINS-style multi-state constraint Kalman filter [1],[3]) with nullspace-projected MSCKF updates for short tracks and.","Stereo camera, downward-facing, 10 Hz.","Point features: 2-D corners detected and tracked with KLT for the VIO (Fig. 1, 'Image + 2D corners', 'KLT+Detection').",No.,"Partial - online outlier handling and map-conditioned scheduling: ratio test and PnP-RANSAC on map matches, Mahalanobis gating of plane data associations.",Micro aerial vehicle (MAV) flying at 60-120 m altitude with a 250 Hz IMU.,Custom real-flight datasets with RTK-GPS ground truth: Town1-Town7.,"ATE, reported as position (m) / orientation (deg) per sequence for four configurations (Tables I-II).",GPS-denied global localisation (prior-map based); long-term drift over 0.4-3 km flights.,"PPM-VIO: an MSCKF/Schmidt-EKF VIO that localises against an offline SfM point-plane prior map. Offline, semantic segmentation with voting, region growing and RANSAC produce plane models with covariances.",No limitations section.,"RQ2 (filter-based MSCKF/Schmidt-EKF architecture with map-based global constraints), RQ3 (algorithmic-level: plane priors and semantic/geometric outlier rejection for low-texture robustness; system-level: sub-1 Hz map-matching scheduling and QR compression for efficiency), RQ4 (custom real-flight datasets, ATE m/deg, timing and CPU load, MAV at 60-120 m). RQ5 weakly (untested embedded deployment, dependence on offline map).",Prior-map-based VIO localisation (map-aided VIO) rather than pure odometry.,Satellite-map / reference-map matching (absolute position); Radar / laser altimeter / downward rangefinder (range to ground),absolute position; range to ground; absolute pose,Satellite-map / reference-map matching (absolute position): fixed.,"p.3 In order to bootstrap the localization system, a marker board that has been calibrated offline is placed at the take-off location, which helps us align the VIO local coordinate and map coordinate systems.",yes,not stated,optical-flow-tracked corners,yes,p.1 Fig. 1: Overview of our PPM-VIO system. [Fig. 1 blocks: 'Image + 2D corners' -> 'KLT+Detection' -> 'VIO Update' / 'SLAM Update'.,no,"Descriptor ratio test and RANSAC accept or reject matches (binary); per-measurement noise is set from map landmark covariance P_ff (Eqs. 19, 23), i.e.",L2,"L2: In these sequences, it is hard to construct the point-map matching since the number of matching points is less than 15, and the recall ratio is less t","[aux: Fiducial markers (absolute pose) not counted as fused: The marker board is used once, to 'bootstrap the localization system ...'."
P0052,"Do, H. V., Kim, Y. H., Kwon, Y. S., Kang, S. H., Kim, H. J.,",2021,"2021 21st International Conference on Control, Automation and Systems (ICCAS), ICROS / IEEE Xplore (conference paper)",10.23919/iccas52745.2021.9649897,Korea.,C2,3,3.0,Tightly coupled: monocular feature measurements are processed directly in an indirect.,EKF - Multi-State Constraint Kalman Filter (indirect/error-state EKF with stochastic cloning and a fixed sliding window of camera poses).,"Monocular, downward-facing pinhole camera.",Not stated. The simulation uses 40 synthetic point features generated randomly along the trajectory with 1 px tracking noise.,No. Standard strapdown INS mechanisation.,Yes - innovation/residual-based adaptive estimation of both the process noise covariance Q and the measurement noise covariance R.,Not specified beyond 'a small virtual UAV' / 'drone' in simulation with a monocular.,Custom synthetic simulation only: unnamed simulator.,"RMSE over 30 Monte Carlo runs of 3D position (North/East/Down, m), 3D velocity (m/s) and 3D Euler-angle attitude.","GNSS-denied operation is assumed ('we assume that GNSS measurements are unavailable', p. 1).","Application of an innovation- and residual-based adaptive Q/R estimation rule (Mohamed and Schwarz style, with forgetting factor) to the monocular MSCKF for UAV visual-inertial navigation.","None stated. No limitations section, no future-work statement.","RQ2 (filter-based MSCKF architecture), RQ3 (algorithmic-level adaptation: online Q/R covariance estimation from innovation and residual), RQ4 (simulation-only evaluation with RMSE, no named platform or benchmark). Weak RQ5 (no limitations stated).",Short 5-page conference paper (C2 adaptive / robust estimation).,,,,"p.1 Moreover, in this simulation, we assume that GNSS measurements are unavailable and the calibration parameters of the sensors are known. Camera + IMU only; no GNSS, LiDAR, UWB, magnetometer, barometer, altimeter, map matching or fiducials are fused.",no,,not stated,no,"p.4 Total 40 feature points are generated randomly along the trajectory. Synthetic point correspondences with 1 px tracking noise; no detector or tracker is named, so 'not stated' is coded rather than 'descriptor point features'.",no,"R is adapted as a single filter-level covariance from residual statistics (Eq. 14); there is no per-feature response, uniqueness or match-confidence weighting.",none stated,,
